[2024-04-30T21:29:37.978+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:38.800+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:39.241+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:39.653+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:40.314+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:40.836+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:41.202+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:41.582+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:42.093+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:42.710+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:43.077+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:43.422+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:43.833+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:44.177+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:44.763+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:45.393+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:46.173+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:46.659+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:46.996+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:47.680+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:50.172+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:51.094+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:51.724+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:52.445+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:52.927+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:54.246+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:54.487+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:54.751+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T21:29:54.956+0000] {logging_mixin.py:188} INFO - enden upload_to_db
